tagalog,english,cebuano,kapampangan,bicolano
Tulong!,Help!,Tabang!,Sopan!,Tabang!
Talon.,waterfall,Ambak.,talon,talon
Sandali!,Wait a minute!,Hulat!,Manaya ka pang saglit!,Halat nin kadikit!
Sandali.,Wait a minute.,Hulat.,Manaya kang saglit.,Halat nin kadikit.
Bahala na!,Come what may!,Sagdi ra!,datang ing nanu mang malyari!,Ano man an mangyari!
Huwag na.,Don't do it.,Ayaw na.,E mu gagawan ita.,Dai mo iyan gibohon.
Dahan dahan!,Slowly slowly!,Hinay hinay.,Bagya bagya!,Luway-luway!
Makinig nang mabuti.,Listen carefully.,Paminaw og maayo.,Makiramdam kang masalese.,Maghinanyog nin maingat.
Lumuha si Hesus.,Jesus wept.,Nakalhilak si Hesus.,Menangis ya i Jesus.,Naghibi si Jesus.
Layo!,Away!,Hawa!,Malawut!,Mayo digdi!
Kalimutan mo siya.,Forget him.,Kalimta na siya.,Kalingwan me.,Kalimti siya.
Ewan.,I don't know.,Ambot.,Eku balu.,Dai ko aram.
Salamat sa Diyos.,Thank God.,Salamat Ginoo.,Salamat king Dios.,Salamat sa Diyos.
Siyempre.,Of course.,Alangan.,Syempre.,Syempre.
Siyempre naman.,Of course.,Alangan.,Syempre.,Syempre.
Isa pa.,One more.,Usa pa.,Metung pa.,Saro pa.
Siyempre!,Of course!,Alangan!,Syempre!,Syempre!
Siyempre naman!,Of course!,Alangan!,Syempre!,Syempre!
Diyan ka lang.,You're just there.,Dira lang ka.,Atyu ka mu karin.,Yaon ka lang duman.
Kumaliwa.,Turn left.,Liko sa wala.,Lumiko ka king kaili.,Liko sa wala.
Kumanan.,Turn right.,Liko sa tuo.,Lumiko kang wanan.,Liko sa too.
Mahusay!,Great!,Maayo kaayo!,Masalese!,Dakula!
Salamat na lang.,Thank you.,Salamat na lang.,Salamat.,Dyos mabalos.
Halikan mo ako.,kiss me,Hagka ko.,halikan mu ku,hadokan mo ako
May tumawag.,Someone called.,Naay nitawag.,Atin menawag.,May nag-apod.
Layas.,run away,Layas.,tumakas,magdulag
Pumili ng isa.,Choose one.,Pili og isa.,Mamili kang metung.,Pumili nin saro.
Bumangon.,get up,Nibangon.,mibangun ka,bumangon
Magtiwala sa akin.,trust me,Pagsalig sa ako.,maniwala ka kaku,magtiwala ka sako
Basahin mo ito.,Read it.,Basaha ni.,Basan me.,Basahon ini.
Tao po?,human?,Ayo?,tawu?,tawo?
Umiyak si Mama.,Mom cried.,Nihilak si Mama.,menangis ya i ima.,Naghibi si Nanay.
Umulan.,It rained.,Nag-ulan.,Minuran.,Nag-uran.
Ang baho.,The stench.,Baho.,Ing baho.,An baho.
Pahingi ng tsaa.,Ask for tea.,Panghatag tsaa.,Manyad kang tsa.,Maghagad nin tsa.
Naku!,Alas!,Aguy!,Alas!,Alas!
Kalimutan mo ako.,forget me,Kalimta na ko.,kalingwan muku,lingawan mo ako
Lahat panalo.,Everyone wins.,Daog tanan.,Manalo la ngan.,Gabos nanggana.
Nagkibit-balikat si Tom.,Tom shrugged.,Mikibo si Tom.,Kibit balikat ya i Tom.,Nagkibit-balikat si Tom.
Lumuha si Tom.,Tom burst into tears.,Nakahilak si Tom.,I Tom menangis ya.,Naghibi si Tom.
Lumuhod si Tom.,Tom knelt down.,Niluhod si Tom.,Siniklaud ya i Tom.,Nagluhod si Tom.
Pirma dito.,Signature here.,Pirma diri.,Pirma keni.,Pirma digdi.
Pumirma dito.,Sign here.,Pagpirma diri.,Magpirma ka keni.,Magpirma digdi.
Nag-ahit si Tom.,Tom shaved.,Namalbas si Tom.,Meg-ahit ya i Tom.,Nag-ahit si Tom.
Usog.,trend,Sibog.,uso,uso
Alam namin.,We know.,Kabalo mi.,Balu mi.,Aram mi.
Alam natin.,We know.,Kabalo ta.,Balu mi.,Aram mi.
Tayo.,We.,Tindog.,Ikatamu.,Kami.
Tumayo.,Stand up.,Tindog.,Talakad ka.,Magtindog.
Walang nagtanong.,No one asked.,Walay nangutana.,Ala nang mengutang.,Mayo nin naghapot.
Napansin ng lahat.,Everyone noticed.,Nakapansin tanan.,apansinan da ngan.,Narisa kan gabos.
Pahingi ng kape.,Ask for coffee.,Panghatag kape.,Manyad kang kape.,Maghagad nin kape.
Politiko si Tom.,Tom is a politician.,Si Tom usa ka politiko.,I Tom metung yang pulitiku.,Si Tom sarong pulitiko.
"Kumusta, Tom?","How are you, Tom?","Kumusta ka, Tom?","Komusta na ka, Tom?","Kumusta ka, Tom?"
Huwag sumuko.,Don't give up.,Ayaw surender.,E ka susuku.,Dai ka magsuko.
Kaibigan kita.,I am your friend.,Higala ta ka.,Aku ing kakaluguran mu.,Ako an saimong katood.
Anong dapat kong dalhin?,What should I bring?,Unsa dapat akong dal-on.,Nanu ing dapat kung idala?,Ano an dapat kong darahon?
Pusa ba 'yan o aso?,Is that a cat or a dog?,Iring na o iro?,Pusa ya o asu ita?,Pusa daw iyan o ayam?
Nandiyan din ba si Tom?,Is Tom there too?,Naa pud dira si Tom?,Atyu ya rin i Tom?,Yaon man daw si Tom?
Hindi ko na kaya.,I can't do it anymore.,Dili na nako kaya.,Eku na agyung gawan ita.,Dai ko na kaya.
Huwag tumalon!,Don't jump!,Ayaw ambak.,E ka luluksu!,Dai ka maglukso!
Huwag kang tatalon!,Don't jump!,Ayawg ambak.,E ka luluksu!,Dai ka maglukso!
Lahat may gusto sa kaniya.,Everyone likes him.,Nagkagusto tanan sa iya.,kaluguran de ngan.,Gusto siya kan gabos.
Tuyo na ba ang mga medyas ko?,Are my socks dry?,Uga na ang mga medyas?,Tuyu la reng medyas ku?,Mara na daw an sakong mga medyas?
Kaya kong tumakbo.,I can run.,Kaya nako mudagan.,agyu kung tumakas.,Kaya kong magdalagan.
Mas mahirap ba ang Pranses sa Ingles?,Is French more difficult than English?,Mas lisod ang Pranses sa Ingles?,Mas masakit ya ing French kesa keng English?,Mas dipisil daw an Pranses kisa sa Ingles?
Hubarin mo ang medyas mo.,Take off your socks.,Huboa imong medyas.,Ilako mu la reng medyas mu.,Hubaon an saimong mga medyas.
Nagsisimba ako sa Linggo.,I go to church on Sunday.,Naga simba ko taga domingo.,Munta ku king pisamban neng Domingo.,Nagsimba ako kun Domingo.
Hindi pa ako nakakakita ng buhay na balyena.,I have never seen a live whale.,Wala pa ko kakitag buhi nga balyena.,Ala kung ikit a mabie balyena.,Dai pa ako nakahiling nin buhay na balyena.
Magalang si Tom.,Tom is polite.,Matinahuron si Tom.,Magalang ya i Tom.,Magalang si Tom.
Umiinom ka ba ng serbesa?,do you drink beer,Nagainom ka og beer?,miminum kang beer,nag-iinom ka nin serbesa
Umiinom ka ba ng beer?,do you drink beer,Nagainom ka og beer?,miminum kang beer,nag-iinom ka nin serbesa
Alak ba ito?,Is it wine?,Alkohol ba kini?,Alak ya ba?,Arak daw ini?
Bumili siya ng manok.,He bought a chicken.,Nipalit siyag manok.,Memili yang manuk.,Nagbakal siya nin manok.
Pulis ka ba?,are you a policeman,Pulis ka?,pulis ka ba,pulis ka
Pulis po ba kayo?,are you a policeman?,Usa ka ka pulis?,pulis ka ba?,pulis ka daw?
Nagmamadali ka ba?,are you in a hurry,Nagdali ba ka?,magmadali ka bang,nagmamadali ka
Anong oras ngayon?,what time is it now,Unsang orasa karon?,nanu oras ngeni,anong oras ngunyan
Nagustuhan mo ba?,Did you like it?,Ganahan ka?,megustu ka?,Nagustuhan mo ini?
Magpaalam ka.,Say goodbye.,Panamilit na.,Magpaalam ka.,Magpaaram.
"Kaya mo, hindi ba?","You can, can't you?","Mahimo nimo, dili ba?","Malyari mu, ali?","Pwede mo, bako?"
Tahimik kaming lahat.,We were all silent.,Hilom ming tanan.,Tahimik kami ngan.,Silensyo kami gabos.
Magaling siyang maglangoy.,He is a good swimmer.,Hawud siya mulangoy.,Mayap yang langoy.,Maray siyang paralangoy.
Nagtrabaho ako sa bukid.,I worked on the farm.,Nagtrabaho ko sa bukid.,Megobra ku keng marangle.,Nagtrabaho ako sa oma.
Sayang hindi ka makakapunta.,Too bad you can't come.,Sayang wala ka kaadto.,Sayang e ka makapunta.,Sayang ta dai ka makadigdi.
Hindi ko pa rin alam.,I still don't know.,Wala gihapon ko kabalo.,Eku pa rin balu.,Dai ko pa aram.
Mataba ba ako sa tingin mo?,Do you think I'm fat?,Taba ko sa imong panan-aw?,Isipan mu bang mataba ku?,Sa hiling mo mataba ako?
Natatandaan mo pa ba kami?,Do you still remember us?,Nakahinumdom pa ka sa amo?,Atatandanan mu kami pa?,Nagigirumduman mo pa daw kami?
Naaalala mo pa ba kami?,Do you still remember us?,Nahinumdoman pa mi nimo?,Atatandanan mu kami pa?,Nagigirumduman mo pa daw kami?
Kumusta tatay mo?,how is your father,Kumusta imong papa?,komusta ya ing tatang mu,kumusta an saimong ama
Kumusta ang iyong ama?,how is your father,Kumusta imong amahan?,komusta ya ing tatang mu,kumusta an saimong ama
Paabot ng asin.,Add salt.,Palihog ko sa asin.,Dagdagan me asin.,Pagdugang asin.
Nasa Australia na ang kapatid ko.,My brother is already in Australia.,Tua na sa Australia akong igsuon.,Atyu ne Australia ing koya ku.,An tugang ko yaon na sa Australia.
"Pasok, bukas ang pinto.","Come in, the door is open.","Dayun,abri ang pultahan.","Lungub ka, makabuklat ya ing pasbul.","Maglaog ka, bukas an pinto."
Namamatay ang aso.,The dog is dying.,Sigeg kamatay ang mga iro.,Mamamate ne ing asu.,An ayam nagagadan.
Nakakainis talaga.,It's really annoying.,Makalagot gyod.,Makainis ya talaga.,Nakakainis talaga.
Bakit nagbago ang isip mo?,Why did you change your mind?,Nganong nag bag-o imong huna-huna?,Bakit migbayu ka isip?,Tano ta nagbago an saimong isip?
Tingnan ko.,let me see,Tan-awon nako.,akit muku,hilingon ko
Maaari ka nang umuwi.,You can go home now.,Pwede na ka muuli.,Malyari na kang muli ngeni.,Pwede ka nang mag-uli ngunyan.
Puwede ka nang umuwi.,You can go home now.,Pwede na ka muuli.,Malyari na kang muli ngeni.,Pwede ka nang mag-uli ngunyan.
Wala akong vodka.,I don't have vodka.,Wala koy vodka.,ala kung vodka.,Mayo akong vodka.
Hindi ako mataba.,I'm not fat.,Dili ko tambok.,Eku mataba.,Bako akong mataba.
Pumanaw ang lolo ko tatlong taon na nakalipas.,My grandfather passed away three years ago.,Namatay akong lolo tulo ka tuig na ang milabay.,Mewala ya ing apu ku atlung banua na ing milabas.,An sakuyang lolo nagadan tolong taon na an nakaagi.
Walang gustong tumulong sa amin.,No one wants to help us.,Walay gusto mutabang namo.,Ala nang bisang sumaup kekatamu.,Mayo nin siisay man na gustong tumabang sato.
Hindi siya pumasok kahapon dahil may sakit siya.,He didn't come in yesterday because he was sick.,Wala siya nisulod gahapon tungod kay nasakit siya.,E ya linub napun uling masakit ya.,Dai siya naglaog kasubago ta may helang siya.
Gusto ko rin ang mga aso.,I like dogs too.,Ganahan pud kog mga iro.,buri ku rin deng asu.,Gusto ko man an mga ayam.
Saan ako tatago?,Where can I hide?,Asa ko mutago?,Nukarin ku malyaring magsalikut?,Saen ako makakatago?
Alam ni Tom na hindi ako nasiyahan.,Tom knew I was not satisfied.,Kabalo si Tom na wala ko nalipay.,balu nang Tom na ali ku kuntentu.,Aram ni Tom na dai ako nakontento.
"Mayaman ako, pero hindi ko kasingyaman si Tom.","I'm rich, but I'm not as rich as Tom.","Dato ko,apan","mabandi ku, pero ali ku kasing mabandi kang Tom.","Mayaman ako, alagad bako akong arog kayaman ni Tom."
Walang pag-uunlad kung walang pakikipag-ugnayan.,There is no development without interaction.,Walay pag-uswag kung walay pagpakiglabot.,Ala yang panyulung nung alang pamiugnayan.,Mayo nin pag-uswag na mayong pakikipag-ulay.
Walang progreso kung walang pakikipagkomunikasyon.,There is no progress without communication.,Walay kalamboan kung walay,Ala yang progresu nung alang komunikasyun.,Mayo nin pag-uswag kun mayo nin komunikasyon.
Alam ni Tom ang nakataya.,Tom knew what was at stake.,Kahibalo si Tom kung unsa ang nalangkit.,balu nang Tom nung nanu ing makataya.,Aram ni Tom kun ano an nakataya.
Nauuhaw daw si Tom.,Tom said he was thirsty.,Giuhaw daw si Tom.,Sabi nang Tom mau ya.,"Sabi ni Tom, nauhaw siya."
Hindi dapat natin silang pabayaan.,We must not neglect them.,Dili dapat nato sila pasagdan.,E ta la sukat paburen.,Dai ta sinda dapat pabayaan.
Kailangan na natin itong ayusin.,We have to fix it.,Kinahanglan na nato ning ayuson.,kailangan tamung ayusan.,Kaipuhan tang ayuson ini.
Sapat ba ang perang binigay ko sa 'yo?,Is the money I gave you enough?,Igo na ba ang salapi nga akong gihatag kanimo?,Sapat na ing perang binye ku keka?,Igo na daw an kwartang itinao ko saimo?
Nahirapan talaga ako sa aklat na 'yun.,I really struggled with that book.,Naglisud gyud ko ato na libro.,mebigla ku keng librung ita.,Nakipaglaban talaga ako sa librong iyan.
Kailangan kong maghanap ng bagong kaibigan.,I need to find a new friend.,Kinahanglan na nako mangitag bag-ong amiga.,kailangan kung manintun bayung kakaluguran.,Kaipuhan kong maghanap nin bagong amigo.
Nagtago si Tom sa likod ng kurtina.,Tom hid behind the curtain.,Nitago sa likod sa kurtina si Tom.,Sinalikut ya i Tom keng gulut ning kurtina.,Nagtago si Tom sa likod kan kurtina.
Walang marinig si Tom.,Tom couldn't hear anything.,Walay madunggan si Tom.,Ala yang dimdam i Tom.,Mayo nin nadangog si Tom.
Ginagawa ko ang kailangan.,I do what is necessary.,Ginabuhat nako ang dapat.,gagawan ku ing kailangan.,Ginigibo ko an kinakaipuhan.
Nagising ako sa ingay.,I woke up to the noise.,Nakamata ko sa kasaba.,Migising ku keng ingay.,Nagimata ako sa ribok.
Handa akong tumulong.,I am ready to help.,Andam kong mutabang.,Makasadya kung sumaup.,Handa akong magtabang.
Medyo antok din ako.,I'm also a bit sleepy.,Medyo nahinanok na sab ko.,medyu makatudtud ku rin.,Medyo turog man ako.
Kailangan niya ang ating tulong.,He needs our help.,Kinahanglan niya ang atong tabang.,Kailangan na ing saup tamu.,Kaipuhan niya an satong tabang.
Limitado ang mapagpipilian mo.,Your choices are limited.,Limitado ang imong kapilian.,Limitadu la reng kekang pilinan.,Limitado an saimong mga pagpipilian.
Gagawin 'yan ni Tom kung kaya.,Tom will do that if he can.,Himuon na ni Tom kung kaya.,gawan neng Tom ita nung agyu na.,Gigibohon iyan ni Tom kun kaya niya.
Nag-usap kami ni Tom kahapon.,Tom and I talked yesterday.,Nag-istoryahanay mi ni Tom kagahapon.,Mipagsalita kami nang Tom napun.,Nag-olay kami ni Tom kasuodma.
Marunong si Tom.,Tom is smart.,Kabalo si Tom.,Matalino ya i Tom.,Matalino si Tom.
Magbabakasyon ako sa Australia.,I'm going on vacation in Australia.,Mobakasyon ko sa Australia.,Magbakasyon ku australia.,Magbakasyon ako sa Australia.
Maglalakwatsa ako sa Australia.,I'm going to Australia.,Maglaaglaag ko sa Australia.,munta ku australia.,Pasiring ako sa Australia.
Bakit hindi mo ako tinulungan sa pagtatakas?,Why didn't you help me escape?,Ngano wala ko nimo gitabangan nga makatakas?,Baket e mu ku seupan makatakas?,Tano ta dai mo ako tinabangan na makadulag?
May kanser ako sa baga.,I have lung cancer.,Naa koy kanser sa baga.,Atin kung kanser keng baga.,Igwa akong kanser sa baga.
Nagpangako ako kay Tom na hindi ko 'yun uulitin.,I promised Tom that I wouldn't do that again.,Nag-saad ko kang Tom na,Pengaku ku kang Tom na eku na gawan ita pasibayu.,Nanuga ako ki Tom na dai ko na iyan gigibuhon giraray.
May kausap si Tom sa telepono.,Tom is talking to someone on the phone.,Naay kaestorya si Tom sa telepono.,Atin yang kasabi i Tom keng teleponu.,Si Tom nakikipag-olay sa sarong tawo sa telepono.
Iyan ang dahilan kung bakit ako naparito.,That's why I came here.,Mao nang hinungdan niari ko diri.,Inya pin dinatang ku keni.,Kaya ako nagdigdi.
Ayokong lumangoy.,I don't want to swim.,Dili ko gusto nga molangoy.,Eku bisang maglango.,Habo kong maglangoy.
Ayaw kong lumangoy.,I don't want to swim.,Dili ko gusto nga molangoy.,Eku bisang maglango.,Habo kong maglangoy.
Pupunta ako sa paliparan.,I'm going to the airport.,Moadto ko sa erport.,munta ku keng airport.,Pasiring ako sa airport.
Nagkaanak si Tom na John ang pangalan.,Tom had a son named John.,Naay anak si Tom na John ang ngalan.,I Tom atin yang anak a lalaki a milagyuan John.,Si Tom nagkaigwa nin aking lalaki na an pangaran John.
Hindi mahirap gawin.,It's not hard to do.,Dili lisod himuon.,E ya masakit gawan.,Bako ining masakit gibohon.
Hindi 'yan magandang dahilan.,That's not a good reason.,Dili na maayong rason.,E masanting a sangkan ita.,Bako iyan marahay na dahelan.
Mahusay na tagaluto ang asawa niya.,His wife is a good cook.,Ang iyang bana maayong magluto.,Magaling yang maglutu ing asawa na.,An saiyang agom sarong marhay na paraluto.
May pagupitan ba sa hotel?,Is there a haircut at the hotel?,Adunay ba usa ka barber shop sa hotel?,Atin bang gupit keng hotel?,Igwa daw nin paggupit sa hotel?
Anak mo siya.,He is your son.,Anak na nimo?,Anak mu ya.,Siya an saimong aki.
Uuwi ka ba para sa Pasko?,Are you coming home for Christmas?,Muuli ka sa pasko.,Muli ka ba keng pasku?,Mauli ka daw para sa Pasko?
Tatlumpung milyon ang halaga.,Thirty million worth.,Trayntay milyon nga kantidad.,atlung pulung milyung halaga.,Treinta milyones an halaga.
Hindi ba dapat kayo ni Tom ang gagawa?,Shouldn't you and Tom do it?,Diba kamo man ni Tom ang maghimo.,E mu ba dapat gawan ita at i Tom?,Bako daw na dapat nindong gibohon iyan ni Tom?
Tumawa kami.,We laughed.,Nangatawa mi.,Mekatawa kami.,Nagngisi kami.
Humihingi kami ng tawad.,We apologize.,Nangayo kami pasaylo.,Manyawad kami pung dispensa.,Naghagad kami nin dispensa.
Bagsak kami.,We crash.,Bagsak mi.,Mibagsak kami.,Nabagsak kami.
Pumalya kami.,We failed.,Napakyas mi.,mebigu kami.,Napalpak kami.
Sumusuko kami.,We give up.,Muondang nami.,Sumuku na kami.,Nagsusuko kami.
Kumain kami.,We ate.,Nangaon mi.,Mengan kami.,Nagkakan kami.
Ngumiti kami.,We smile.,Nagngisi mi,Manyaman kami.,Nagngingisi kami.
Naglakad kami.,We walked.,Naglakaw mi.,Miglakad kami.,Naglakaw kami.
Humikab kami.,We yawned.,Nanghuy-ab mi,Mig-yawn kami.,Nag-agaw kami.
Nagsinungaling kami.,We lied.,Namangak mi.,Miglaram kami.,Nagputik kami.
Nagdasal kami.,We prayed.,Nag-ampo mi.,Mengadi kami.,Namibi kami.
Nagpalakpakan kami.,We applauded.,Namalakpak kami.,Migpalakpak kami.,Nagpalakpakan kami.
Tumayo kami.,We stood up.,Mitindog kami.,Tinalakad kami.,Nagtindog kami.
Nagtaka kami kung bakit.,We wondered why.,Natingala kami kung ngano.,Mipamulala kami nung bakit.,Nagngalas kami kun tano.
Magpinsan kami.,We are cousins.,Mag-igagaw mi.,Pisan kami.,Magpinsan kami.
Magpinsan tayo.,We are cousins.,Mag-igagaw ta.,Pisan kami.,Magpinsan kami.
Doktor kami.,We are doctors.,Doktor kami.,Doktor kami.,Mga doktor kami.
Manggagamot kami.,We are doctors.,Mananambal mi.,Doktor kami.,Mga doktor kami.
Gutom kami.,we are hungry,Gigutom nami.,daranup kami,nagugutom kami
Nagugutom kami.,We are hungry.,Gigutom nami.,Daranup kami.,Nagugutom kami.
Dapat humingi sila ng tawad.,They should apologize.,Dapat mangayo silag pasaylo.,Dapat manyawad lang tawad.,Dapat sindang maghagad nin dispensa.
Dati silang nagtitinda ng itlog.,They used to sell eggs.,Gabaligya silag itlog sauna.,Dati magtinda lang itlog.,Nagtitinda sinda kaidto nin mga itlog.
Higit na kilala ka namin kaysa sa kanila.,We know you better than they do.,Mas nakaila pami sa imo kaysa sa ila.,Mas balu da kayu kesa karela.,Mas midbid mi kamo kisa sainda.
Hindi sila nagtira ng kahit ano para sa akin.,They didn't leave anything for me.,Wala silay gibilin bisag unsa para nako.,Ala lang likuan para kaku.,Mayo sindang iwinalat para sako.
Nagbihis-payaso sila.,They dressed up as clowns.,Nag sul-ob payaso sila.,Migdamit lang clown.,Naggubing sinda nin mga clown.
Hindi nila alam mag-Pranses.,They don't know French.,Dili sila kabalo mag-Pranses.,E la byasang French.,Dai sinda tatao nin Pranses.
Hindi nila maintindihan ang Pranses.,They don't understand French.,Dili sila kasabot sa Pranses.,E la makaintindi keng French.,Dai sinda nakakasabot nin Pranses.
Binati nila kami sa Pranses.,They greeted us in French.,Gitimbaya nila kami sa Pranses.,Binati da kami keng French.,Sinabat ninda kami sa Pranses.
Guro sila sa Pranses.,They are French teachers.,Maestra sila sa Pranses.,Ila reng talaturu ning French.,Sinda mga paratukdo nin Pranses.
Sinabi na nila sa akin.,They told me.,Giingon na nila sa ako.,sinabi da kaku.,Sinabi ninda sako.
Alam na nila ang katotohanan.,They already know the truth.,Kabalo sila sa kamatuoran.,Balu da na ing katutwan.,Aram na ninda an katotoohan.
Sabi nila na hindi kaya.,They said they couldn't.,Ingon sila dili makaya,Sabi da e la bisa.,Sabi ninda dai ninda kaya.
Napakaganda nila.,They are very beautiful.,Ka mga guwapa nila.,Tutu lang mangasanting.,Magagayon sindang marhay.
Nagalit sila.,They were angry.,Nangasuko sila.,Mimua la.,Naanggot sinda.
Nakatakas sila sa bintana.,They escaped through the window.,Naka ikyas sila sa bintana.,Tinakas la king bintana.,Nakadulag sinda sa bintana.
"Sabi nila, pinatay ni Tom si Mary.",They say Tom killed Mary.,Ana sila gipatay ni Tom si Mary.,Sabi da i Tom ing mekapate kang Mary.,Sinasabi ninda na si Tom an guminadan ki Mary.
